year,date, count ,covid-period
2019,12/30/18," 167,679 ",N
2019,1/6/19," 82,340 ",N
2019,1/13/19," 62,315 ",N
2019,1/20/19," 75,801 ",N
2019,1/27/19," 75,841 ",N
2019,2/3/19," 79,780 ",N
2019,2/10/19," 65,732 ",N
2019,2/17/19," 69,492 ",N
2019,2/24/19," 85,688 ",N
2019,3/3/19," 84,512 ",N
2019,3/10/19," 107,995 ",N
2019,3/17/19," 125,440 ",Y
2019,3/24/19," 136,330 ",Y
2019,3/31/19," 118,784 ",Y
2019,4/7/19," 132,033 ",Y
2019,4/14/19," 133,267 ",Y
2019,4/21/19," 165,777 ",Y
2019,4/28/19," 166,356 ",Y
2019,5/5/19," 171,049 ",Y
2019,5/12/19," 178,534 ",Y
2019,5/19/19," 191,319 ",Y
2019,5/26/19," 240,507 ",Y
2019,6/2/19," 211,380 ",Y
2019,6/9/19," 214,729 ",Y
2019,6/16/19," 202,847 ",Y
2019,6/23/19," 202,445 ",Y
2019,6/30/19," 184,658 ",Y
2019,7/7/19," 185,302 ",Y
2019,7/14/19," 166,125 ",Y
2019,7/21/19," 208,809 ",Y
2019,7/28/19," 197,005 ",Y
2019,8/4/19," 180,605 ",Y
2019,8/11/19," 191,450 ",Y
2019,8/18/19," 168,754 ",Y
2019,8/25/19," 176,624 ",Y
2019,9/1/19," 184,806 ",Y
2019,9/8/19," 157,345 ",Y
2019,9/15/19," 152,527 ",Y
2019,9/22/19," 141,072 ",Y
2019,9/29/19," 135,881 ",Y
2019,10/6/19," 132,239 ",Y
2019,10/13/19," 110,816 ",Y
2019,10/20/19," 110,761 ",Y
2019,10/27/19," 109,795 ",Y
2019,11/3/19," 109,766 ",Y
2019,11/10/19," 86,824 ",Y
2019,11/17/19," 88,122 ",Y
2019,11/24/19," 72,380 ",Y
2019,12/1/19," 81,871 ",Y
2019,12/8/19," 68,364 ",Y
2020,12/29/19," 183,546 ",N
2020,1/5/20," 97,140 ",N
2020,1/12/20," 75,782 ",N
2020,1/19/20," 83,809 ",N
2020,1/26/20," 94,738 ",N
2020,2/2/20," 153,555 ",N
2020,2/9/20," 130,351 ",N
2020,2/16/20," 149,876 ",N
2020,2/23/20," 141,250 ",N
2020,3/1/20," 167,528 ",N
2020,3/8/20," 210,182 ",N
2020,3/15/20," 367,795 ",Y
2020,3/22/20," 372,783 ",Y
2020,3/29/20," 280,728 ",Y
2020,4/5/20," 419,160 ",Y
2020,4/12/20," 241,810 ",Y
2020,4/19/20," 231,184 ",Y
2020,4/26/20," 276,982 ",Y
2020,5/3/20," 244,058 ",Y
2020,5/10/20," 281,348 ",Y
2020,5/17/20," 255,226 ",Y
2020,5/24/20," 299,567 ",Y
2020,5/31/20," 278,800 ",Y
2020,6/7/20," 296,335 ",Y
2020,6/14/20," 255,112 ",Y
2020,6/21/20," 256,615 ",Y
2020,6/28/20," 236,287 ",Y
2020,7/5/20," 244,342 ",Y
2020,7/12/20," 250,590 ",Y
2020,7/19/20," 223,757 ",Y
2020,7/26/20," 238,673 ",Y
2020,8/2/20," 239,827 ",Y
2020,8/9/20," 219,279 ",Y
2020,8/16/20," 241,007 ",Y
2020,8/23/20," 273,677 ",Y
2020,8/30/20," 227,918 ",Y
2020,9/6/20," 207,670 ",Y
2020,9/13/20," 207,320 ",Y
2020,9/20/20," 207,918 ",Y
2020,9/27/20," 186,004 ",Y
2020,10/4/20," 182,924 ",Y
2020,10/11/20," 159,246 ",Y
2020,10/18/20," 141,404 ",Y
2020,10/25/20," 147,907 ",Y
2020,11/1/20," 154,502 ",Y
2020,11/8/20," 155,805 ",Y
2020,11/15/20," 97,835 ",Y
2020,11/22/20," 101,036 ",Y
2020,11/29/20," 84,123 ",Y
2020,12/6/20," 92,126 ",Y
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,